||                                                              Control Element         1(        13)                                                                              ||
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
||           Load|                        XX|                        YY|                        ZZ|                        XY|                        YZ|                        XZ||
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
||    0.20000E+00|    0.4080000000000006E-01|    0.5464378949326942E-16|    0.5464378949326942E-16|    0.0000000000000000E+00|    0.0000000000000000E+00|    0.0000000000000000E+00||
||    0.26667E+00|    0.9768888888888883E-01|    0.3469446951953614E-16|    0.3469446951953614E-16|    0.0000000000000000E+00|    0.0000000000000000E+00|    0.0000000000000000E+00||
||    0.26667E+00|    0.1574222222222220E+00|    0.5204170427930421E-16|    0.5204170427930421E-16|    0.0000000000000000E+00|    0.0000000000000000E+00|    0.0000000000000000E+00||
||    0.26667E+00|    0.2199999999999997E+00|    0.1387778780781446E-16|    0.1387778780781446E-16|    0.0000000000000000E+00|    0.0000000000000000E+00|    0.0000000000000000E+00||
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|| Barycenter Coord:  X=    0.8750000000000000E+00,  Y=    0.1250000000000000E+00,  Z=    0.5000000000000000E+00                                                                   ||
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
